schema_version,event_id,primary_id,secondary_id,tca_utc,tca_index_snapshot,miss_distance_m,relative_speed_mps,pc_assumed,risk_score,window_start_utc,window_end_utc,model_version,assumptions_json
1.1.0,EVT-31698-36605-2026-02-23T15:31:07Z,31698,36605,2026-02-23T15:31:07Z,63,91.01479578360083,0.48455552435799365,0.003702296503977702,0.003702296503977702,2026-02-23T15:11:07Z,2026-02-23T15:51:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-30530-37214-2026-02-23T04:00:07Z,30530,37214,2026-02-23T04:00:07Z,40,5759.086599153516,504.92717123752465,1.6239198771930913e-28,1.6239198771930913e-28,2026-02-23T03:41:07Z,2026-02-23T04:21:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-29933-33492-2026-02-23T22:18:07Z,29933,33492,2026-02-23T22:18:07Z,77,6125.72344963928,111.63249756455822,8.903212289374928e-32,8.903212289374928e-32,2026-02-23T22:01:07Z,2026-02-23T22:41:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-33745-37214-2026-02-22T13:39:07Z,33745,37214,2026-02-22T13:39:07Z,11,6293.063922714249,115.80540201784243,2.4790127149550627e-33,2.4790127149550627e-33,2026-02-22T13:21:07Z,2026-02-22T14:01:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-37477-37931-2026-02-24T22:12:07Z,37477,37931,2026-02-24T22:12:07Z,124,8537.700912118162,1443.6212282938427,3.024896590153435e-58,3.024896590153435e-58,2026-02-24T21:51:07Z,2026-02-24T22:31:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-27844-29877-2026-02-24T00:31:07Z,27844,29877,2026-02-24T00:31:07Z,81,9355.678523993063,217.66645145876117,3.365031241404189e-69,3.365031241404189e-69,2026-02-24T00:11:07Z,2026-02-24T00:51:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-27843-29807-2026-02-23T17:58:07Z,27843,29807,2026-02-23T17:58:07Z,68,10052.628612813456,232.6947550051348,2.533848442597368e-79,2.533848442597368e-79,2026-02-23T17:41:07Z,2026-02-23T18:21:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-28252-28378-2026-02-24T14:31:07Z,28252,28378,2026-02-24T14:31:07Z,109,5649.433695556079,159.39430212640147,1.315544665377521e-89,1.315544665377521e-89,2026-02-24T14:11:07Z,2026-02-24T14:51:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-31946-37387-2026-02-25T03:59:07Z,31946,37387,2026-02-25T03:59:07Z,136,10839.503804052743,385.5092316798556,1.2605788218470774e-91,1.2605788218470774e-91,2026-02-25T03:41:07Z,2026-02-25T04:21:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-28372-31329-2026-02-24T08:21:07Z,28372,31329,2026-02-24T08:21:07Z,97,11718.832052084303,1313.045084124006,1.7999723105924204e-106,1.7999723105924204e-106,2026-02-24T08:01:07Z,2026-02-24T08:41:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-28051-29996-2026-02-24T02:50:07Z,28051,29996,2026-02-24T02:50:07Z,86,11721.365380724621,400.7854279369811,1.6248929687230068e-106,1.6248929687230068e-106,2026-02-24T02:31:07Z,2026-02-24T03:11:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
1.1.0,EVT-30304-38709-2026-02-22T20:11:07Z,30304,38709,2026-02-22T20:11:07Z,24,11823.497704798057,4600.68920235123,2.5772825574662554e-108,2.5772825574662554e-108,2026-02-22T19:51:07Z,2026-02-22T20:31:07Z,step2_v1_assumed_covariance,"{""catalog_groups_used"": [""ACTIVE"", ""COSMOS-1408-DEBRIS"", ""FENGYUN-1C-DEBRIS"", ""IRIDIUM-33-DEBRIS"", ""COSMOS-2251-DEBRIS""], ""dt_refine_s"": 60, ""dt_s"": 600, ""hard_body_radius_m"": 25.0, ""horizon_hours"": 72.0, ""sigma_debris_m"": 500.0, ""sigma_payload_m"": 200.0, ""voxel_km"": 50.0}"
